reg	real 4.97
run_reg_0_0	real	15.128
run_reg_5_0	real	12.577
run_reg_15_15	real	14.702
run_reg_1_0	real	17.221
run_reg_20_20	real	18.77
run_reg_20_5	real	10.705
run_reg_22_0	real	14.237
run_reg_20_10	real	10.705
run_reg_10_10	real	13.989
run_reg_22_0	real	10.094
run_reg_1_1	real	12.075
run_reg_15_1	real	9.814
run_reg_22_1	real	12.462
run_reg_5_0	real	11.106
run_reg_15_10	real	12.29
run_reg_10_0	real	10.036
run_reg_5_0	real	13.2
run_reg_5_5	real	10.072
run_reg_20_0	real	12.705
run_reg_15_0	real	10.012
run_reg_20_10	real	13.148
run_reg_22_1	real	10.133
run_reg_5_5	real	12.705
run_reg_15_0	real	9.849
run_reg_10_1	real	10.094
run_reg_10_0	real	12.895
run_reg_22_10	real	9.684
run_reg_22_5	real	10.487
run_reg_5_1	real	12.466
run_reg_20_15	real	9.989
run_reg_22_0	real	10.091
run_reg_10_0	real	12.005
run_reg_20_0	real	9.591
run_reg_20_20	real	10.07
run_reg_15_0	real	12.34
run_reg_22_5	real	10.317
run_reg_20_20	real	9.43
run_reg_5_1	real	12.955
run_reg_15_5	real	9.608
run_reg_15_10	real	9.567
run_reg_15_1	real	17.556
run_reg_22_5	real	11.923
run_reg_22_15	real	12.205
run_reg_10_1	real	10.285
run_reg_5_0	real	13.375
run_reg_5_0	real	10.764
run_reg_22_22	real	11.904
run_reg_22_22	real	11.171
run_reg_15_10	real	15.956
run_reg_22_22	real	10.673
run_reg_10_10	real	9.899
run_reg_1_1	real	9.751
run_reg_20_20	real	13.315
run_reg_22_15	real	10.067
run_reg_22_15	real	9.572
run_reg_20_10	real	10.001
run_reg_22_0	real	12.944
run_reg_15_15	real	9.652
run_reg_15_1	real	9.964
run_reg_15_5	real	9.637
run_reg_20_10	real	12.934
run_reg_15_5	real	9.889
run_reg_1_0	real	9.711
run_reg_15_1	real	10.246
run_reg_10_0	real	12.64
run_reg_20_15	real	9.604
run_reg_10_0	real	9.267
run_reg_15_5	real	9.951
run_reg_10_5	real	12.755
run_reg_10_0	real	9.592
run_reg_20_20	real	9.775
run_reg_1_1	real	9.433
run_reg_20_10	real	12.767
run_reg_20_1	real	9.391
run_reg_20_10	real	9.468
run_reg_15_1	real	9.807
run_reg_22_0	real	12.912
run_reg_20_15	real	9.491
run_reg_22_0	real	9.79
run_reg_5_0	real	9.409
run_reg_15_5	real	12.381
run_reg_20_1	real	10.013
run_reg_22_22	real	9.684
run_reg_22_20	real	9.864
run_reg_22_10	real	14.48
run_reg_22_5	real	15.129
run_reg_20_10	real	15.604
run_reg_20_1	real	9.059
run_reg_10_0	real	12.314
run_reg_20_5	real	8.946
run_reg_15_0	real	8.732
run_reg_10_10	real	8.812
run_reg_5_1	real	12.594
run_reg_20_5	real	9.173
run_reg_22_5	real	9.36
run_reg_22_5	real	8.888
run_reg_20_20	real	12.172
run_reg_5_5	real	9.163
run_reg_10_1	real	9.181
run_reg_15_5	real	8.779
run_reg_5_1	real	11.603
run_reg_22_22	real	9.317
run_reg_5_5	real	8.933
run_reg_20_0	real	8.921
run_reg_20_10	real	12.47
run_reg_22_1	real	8.777
run_reg_22_15	real	8.786
run_reg_20_1	real	9.301
run_reg_22_22	real	14.607
run_reg_22_0	real	9.18
run_reg_5_0	real	9.25
run_reg_20_5	real	8.811
run_reg_20_0	real	11.682
run_reg_5_1	real	9.091
run_reg_22_0	real	9.31
run_reg_15_0	real	8.738
run_reg_15_0	real	11.745
run_reg_20_0	real	8.637
run_reg_5_5	real	8.795
run_reg_5_0	real	8.962
run_reg_15_5	real	12.021
run_reg_22_22	real	303.347
run_reg_20_15	real	18.766
run_reg_20_0	real	14.488
run_reg_20_5	real	13.529
run_reg_20_10	real	9.744
run_reg_22_20	real	10.496
run_reg_10_1	real	9.773
run_reg_20_10	real	12.532
run_reg_1_0	real	10.104
run_reg_5_5	real	9.443
run_reg_22_20	real	10.262
run_reg_15_0	real	12.522
run_reg_5_5	real	9.408
